External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description,categ_id,website_published,public_categ_ids
7500326513558,KIT INVITACION FIESTA BUHO FISTA EN PIJAMAS,Bienes,14111611,7500326513558,,,,,,TRUE,
7500326513565,KIT INVITACION DESPEDIDA DE SOLTERA COPAS,Bienes,14111601,7500326513565,,,,,,TRUE,
7500326513572,KIT INVITACION DESPEDIDA DE SOLTERA ANILLO,Bienes,14111601,7500326513572,,,,,,TRUE,
7500326513589,"KIT INVITACION DESPEDIDA DE SOLTERA OH LA, LA !  ROJO",Bienes,14111601,7500326513589,,,,,,TRUE,
7500326513602,KIT INVITACION DESPEDIDA DE SOLTERA NEGLIGEE,Bienes,14111601,7500326513602,,,,,,TRUE,
7500326513619,KIT INVITACION ANIMAL PRINT TIGRE,Bienes,14111611,7500326513619,,,,,,TRUE,
7500326513626,KIT INVITACION ANIMAL PRINT ZEBRA,Bienes,14111611,7500326513626,,,,,,TRUE,
7500326513633,KIT INVITACION ANIMAL PRINT JIRAFA,Bienes,14111611,7500326513633,,,,,,TRUE,
7500326516283,STICKER CIRC. BOPP GRAL FLOR FELIZ DIA NEGRO C/24PZAS,Bienes,60121012,7500326516283,,,,,,TRUE,
7500326516528,STICKER CIRCULAR HALLOWEEN PARTY,Bienes,60121120,7500326516528,,,,,,TRUE,
7500326516719,INVITACION VERTICAL FESTIVAL ANTIFACES C/5 PZAS,Bienes,14111611,7500326516719,,,,,,TRUE,
7500326516764,INVITACION VERTICAL PRIMERA COM UNIX C/25 PZAS,Bienes,14111611,7500326516764,,,,,,TRUE,
7500326516771,KIT INVITACION ANIMAL PRINT CHITA,Bienes,14111611,7500326516771,,,,,,TRUE,
7500326516788,KIT INVITACION PARTICIPACION POOL PARTY,Bienes,14111611,7500326516788,,,,,,TRUE,
7500326516795,KIT INVITACION PARTICIPACION HAWAIIAN PARTY,Bienes,14111611,7500326516795,,,,,,TRUE,
7500326516832,CALCOMANIA ESCOLAR MARIPOSAS,Bienes,60121120,7500326516832,,,,,,TRUE,
7500326516894,CALCOMANIA ESCOLAR BIGOTES C/15PZAS,Bienes,60121120,7500326516894,,,,,,TRUE,
7500326517013,TARJETA DEL DIA DEL PADRE EL REY,Bienes,14111611,7500326517013,,,,,,TRUE,
7500326517020,TARJETAS CONMEMORATIVAS SIN MENSAJE FUCSIA,Bienes,14111611,7500326517020,,,,,,TRUE,
7500326517037,TARJETAS DEL DIA DEL PADRE ERES MI REY,Bienes,14111601,7500326517037,,,,,,TRUE,
7500326517044,TARJETA DE PARA PASTEL CON LETRAS,Bienes,14111611,7500326517044,,,,,,TRUE,
750032651705,TARJETA DE PARA GLOBOS FELIZ CUMPLE,Bienes,14111611,750032651705,,,,,,TRUE,
7500326517068,TARJETAS DE PARA HIP HIP HURRA,Bienes,14111611,7500326517068,,,,,,TRUE,
7500326517075,TARJETA DE PARA BANDERINEZ CUMPLE,Bienes,14111611,7500326517075,,,,,,TRUE,
7500326517082,TARJETA DE PARA PARTY TIME,Bienes,14111601,7500326517082,,,,,,TRUE,
7500326517105,TARJETA DE REGALO,Bienes,14111611,7500326517105,,,,,,TRUE,
7500326517112,TARJETAS DE PARA BANNER NEGRO CUMPLE,Bienes,14111601,7500326517112,,,,,,TRUE,
7500326517129,TARJETAS CONMEMORATIVAS  FELIZ CUMPLEAÃ‘OS PIZZA,Bienes,14111611,7500326517129,,,,,,TRUE,
7500326517136,TARJETAS CONMEMORATIVAS FELIZ CUMPLEAÃ‘OS CUPCAKE,Bienes,14111611,7500326517136,,,,,,TRUE,
7500326517143,TARJETAS CONMEMORATIVAS HAPPY BIRTHDAR GLOBOS,Bienes,14111611,7500326517143,,,,,,TRUE,
7500326517167,TARJETAS CONMEMORATIVAS FELIZ CUMPLEAÃ‘OS CAJA SORPRESA,Bienes,14111611,7500326517167,,,,,,TRUE,
7500326517174,TARJETA DE PARA PASTEL BOLAS,Bienes,14111611,7500326517174,,,,,,TRUE,
7500326517198,BANDERITAS DECORATIVAS R ANIMAL PRINT TIGRE,Bienes,60121120,7500326517198,,,,,,TRUE,
7500326539039,BANDERITAS DECORATIVAS C ANIMAL PRINT ZEBRA,Bienes,60121120,7500326539039,,,,,,TRUE,
7500326539046,BANDERITA REDONDA ANIMAL PRINT JIRAFA,Bienes,60121120,7500326539046,,,,,,TRUE,
7500326539060,BANDERITA REDONDA ANIMAL PRINT CHITA,Bienes,60121120,7500326539060,,,,,,TRUE,
7500326539091, BANDERITA CUADRADA BABY S HUELLAS AZULES NIÃ‘O,Bienes,60121120,7500326539091,,,,,,TRUE,
7500326539121,BANDERITA BABY S HUELLAS CAFÃ‰ UNISEX,Bienes,60121120,7500326539121,,,,,,TRUE,
7500326539138,BANDERITA REDONDA BABY SHOWER JIRAFA AZUL NIÃ‘O,Bienes,60121120,7500326539138,,,,,,TRUE,
7500326539152,BANDERITA REDONDA BABY S JIRAFA ROSA NIÃ‘A,Bienes,60121120,7500326539152,,,,,,TRUE,
7500326539169,BANDERITA CUADRADA BABY S JIRAFA ROSA NIÃ‘A,Bienes,60121120,7500326539169,,,,,,TRUE,
7500326539176,BANDERITA REDONDA BABY S JIRAFA AMARILLA UNISEX,Bienes,60121120,7500326539176,,,,,,TRUE,
7500326539183,BANDERITA CUADRADA BABY S JIRAFA AMARILLA UNISEX,Bienes,60121120,7500326539183,,,,,,TRUE,
7500326539305,BANDERITA CUADRADA BIENVENIDO AZUL/CAFE,Bienes,60121120,7500326539305,,,,,,TRUE,
7500326539312,BANDERITA CUADRADA BABY S ANIMALITOS MARCO CAFE,Bienes,60121120,7500326539312,,,,,,TRUE,
7500326539336,BANDERITA CUADRADA BABY S ANIMALITOS PUNTOS COLORES,Bienes,60121120,7500326539336,,,,,,TRUE,
7500326539343,BANDERITA BABY S ZAFARI AZUL NIÃ‘O,Bienes,60121120,7500326539343,,,,,,TRUE,
7500326539367,BANDERITA CUADRADA BABY S ZAFARI JIRAFA CAFÃ‰,Bienes,60121120,7500326539367,,,,,,TRUE,
